,Species,Country,Outcome,Age,Sex,Year,Entity,Code,Population density (people per sq. km of land area)
0,CACU,Mexico,Non-fatal,20,Male,2000,Mexico,MEX,52.32628051
1,CACU,Costa Rica,Fatal,29,Male,2002,Costa Rica,CRI,79.57704661
2,CACU,Costa Rica,Non-fatal,58,Male,2002,Costa Rica,CRI,79.57704661
3,CACU,Costa Rica,Non-fatal,53,Male,2002,Costa Rica,CRI,79.57704661
4,CACU,Nicaragua,Non-fatal,42,Male,2002,Nicaragua,NIC,42.97601795
5,CACU,Nicaragua,Non-fatal,18,Male,2002,Nicaragua,NIC,42.97601795
6,CACU,Panama,Non-fatal,36,Male,2003,Panama,PAN,43.16887275
7,CACU,Mexico,Non-fatal,40-something,Male,2004,Mexico,MEX,55.04029579
8,CACU,Mexico,Non-fatal,over 60,Female,2005,Mexico,MEX,55.79990638
9,CACU,Mexico,Non-fatal,adult,Male,2005,Mexico,MEX,55.79990638
10,CACU,Panama,Non-fatal,adult,Male,2005,Panama,PAN,44.80044391
11,CACU,Mexico,Non-fatal,adult,Male,2005,Mexico,MEX,55.79990638
12,CACU,Costa Rica,Fatal,13,Male,2005,Costa Rica,CRI,83.19312573
13,CACU,Jamaica,Non-fatal,adult,Male,2005,Jamaica,JAM,253.43241
14,CACU,Mexico,Non-fatal,13,Male,2006,Mexico,MEX,56.63333831
15,CACU,Costa Rica,Non-fatal,20,Male,2006,Costa Rica,CRI,84.38687818
16,CACU,Mexico,Non-fatal,10,Male,2006,Mexico,MEX,56.63333831
17,CACU,Mexico,Non-fatal,5,Female,2006,Mexico,MEX,56.63333831
18,CACU,Mexico,Non-fatal,43,Male,2006,Mexico,MEX,56.63333831
19,CACU,Costa Rica,Non-fatal,11,Female,2006,Costa Rica,CRI,84.38687818
20,CACU,Costa Rica,Non-fatal,16,Male,2006,Costa Rica,CRI,84.38687818
21,CACU,Costa Rica,Non-fatal,30,Male,2007,Costa Rica,CRI,85.57518606
22,CACU,Costa Rica,Non-fatal,18,Male,2007,Costa Rica,CRI,85.57518606
23,CACU,Costa Rica,Non-fatal,25,Male,2007,Costa Rica,CRI,85.57518606
24,CACU,Nicaragua,Fatal,4,Male,2007,Nicaragua,NIC,45.88753532
25,CACU,El Salvador,Non-fatal,20,Male,2007,El Salvador,SLV,293.60400580000004
26,CACU,Mexico,Fatal,5,Male,2007,Mexico,MEX,57.53046426
27,CACU,Costa Rica,Fatal,13,Male,2007,Costa Rica,CRI,85.57518606
28,CACU,Panama,Fatal,38,Male,2007,Panama,PAN,46.45960452
29,CACU,Mexico,Non-fatal,10,Male,2007,Mexico,MEX,57.53046426
30,CACU,Mexico,Non-fatal,9,Male,2007,Mexico,MEX,57.53046426
31,CACU,Mexico,Non-fatal,12,Male,2007,Mexico,MEX,57.53046426
32,CACU,Panama,Non-fatal,adult,Male,2007,Panama,PAN,46.45960452
33,CACU,Mexico,Non-fatal,29,Male,2007,Mexico,MEX,57.53046426
34,CACU,Costa Rica,Non-fatal,?,Male,2008,Costa Rica,CRI,86.75103799
35,CACU,Costa Rica,Fatal,41,Male,2008,Costa Rica,CRI,86.75103799
36,CACU,Costa Rica,Fatal,35,Female,2008,Costa Rica,CRI,86.75103799
