,Species,Country,Outcome,Age,Sex,Year,Entity,Code,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)
0,CACU,Mexico,Non-fatal,20,Male,2000,Mexico,MEX,0.0147464099692888,12.123196660296,13.839879331896801
1,CACU,Costa Rica,Fatal,29,Male,2002,Costa Rica,CRI,0.22122935496224203,25.545997690492502,12.3665462034395
2,CACU,Costa Rica,Non-fatal,58,Male,2002,Costa Rica,CRI,0.22122935496224203,25.545997690492502,12.3665462034395
3,CACU,Costa Rica,Non-fatal,53,Male,2002,Costa Rica,CRI,0.22122935496224203,25.545997690492502,12.3665462034395
4,CACU,Nicaragua,Non-fatal,42,Male,2002,Nicaragua,NIC,0.0448398931576914,3.31865482640832,4.58739757303837
5,CACU,Nicaragua,Non-fatal,18,Male,2002,Nicaragua,NIC,0.0448398931576914,3.31865482640832,4.58739757303837
6,CACU,Panama,Non-fatal,36,Male,2003,Panama,PAN,0.468625259957858,11.885332487425098,21.5758322858156
7,CACU,Mexico,Non-fatal,40-something,Male,2004,Mexico,MEX,0.988154810091553,16.8915739260003,35.937123684816
8,CACU,Mexico,Non-fatal,over 60,Female,2005,Mexico,MEX,1.77220661495033,17.988036532263397,43.447753281143996
9,CACU,Mexico,Non-fatal,adult,Male,2005,Mexico,MEX,1.77220661495033,17.988036532263397,43.447753281143996
10,CACU,Panama,Non-fatal,adult,Male,2005,Panama,PAN,0.5274638826710379,14.125745203747801,52.5073826027296
11,CACU,Mexico,Non-fatal,adult,Male,2005,Mexico,MEX,1.77220661495033,17.988036532263397,43.447753281143996
12,CACU,Costa Rica,Fatal,13,Male,2005,Costa Rica,CRI,1.05733712726065,32.687263953617894,25.926229348038202
13,CACU,Jamaica,Non-fatal,adult,Male,2005,Jamaica,JAM,1.63953957356669,11.6225138659505,72.1930809243943
14,CACU,Mexico,Non-fatal,13,Male,2006,Mexico,MEX,2.74315084737292,18.040575888005602,50.3172535704515
15,CACU,Costa Rica,Non-fatal,20,Male,2006,Costa Rica,CRI,1.93388219534283,30.8556176043691,33.5062896949819
16,CACU,Mexico,Non-fatal,10,Male,2006,Mexico,MEX,2.74315084737292,18.040575888005602,50.3172535704515
17,CACU,Mexico,Non-fatal,5,Female,2006,Mexico,MEX,2.74315084737292,18.040575888005602,50.3172535704515
18,CACU,Mexico,Non-fatal,43,Male,2006,Mexico,MEX,2.74315084737292,18.040575888005602,50.3172535704515
19,CACU,Costa Rica,Non-fatal,11,Female,2006,Costa Rica,CRI,1.93388219534283,30.8556176043691,33.5062896949819
20,CACU,Costa Rica,Non-fatal,16,Male,2006,Costa Rica,CRI,1.93388219534283,30.8556176043691,33.5062896949819
21,CACU,Costa Rica,Non-fatal,30,Male,2007,Costa Rica,CRI,2.17417722840006,32.880311085855105,34.5172147920033
22,CACU,Costa Rica,Non-fatal,18,Male,2007,Costa Rica,CRI,2.17417722840006,32.880311085855105,34.5172147920033
23,CACU,Costa Rica,Non-fatal,25,Male,2007,Costa Rica,CRI,2.17417722840006,32.880311085855105,34.5172147920033
24,CACU,Nicaragua,Fatal,4,Male,2007,Nicaragua,NIC,0.49890386023013705,4.509149226762401,45.3138893023785
25,CACU,El Salvador,Non-fatal,20,Male,2007,El Salvador,SLV,1.4754889269701899,17.7543755830344,100.886105392066
26,CACU,Mexico,Fatal,5,Male,2007,Mexico,MEX,4.02769060426921,17.8813987717374,59.515054256153896
27,CACU,Costa Rica,Fatal,13,Male,2007,Costa Rica,CRI,2.17417722840006,32.880311085855105,34.5172147920033
28,CACU,Panama,Fatal,38,Male,2007,Panama,PAN,4.35122750055229,14.3392494137628,87.16859396023001
29,CACU,Mexico,Non-fatal,10,Male,2007,Mexico,MEX,4.02769060426921,17.8813987717374,59.515054256153896
30,CACU,Mexico,Non-fatal,9,Male,2007,Mexico,MEX,4.02769060426921,17.8813987717374,59.515054256153896
31,CACU,Mexico,Non-fatal,12,Male,2007,Mexico,MEX,4.02769060426921,17.8813987717374,59.515054256153896
32,CACU,Panama,Non-fatal,adult,Male,2007,Panama,PAN,4.35122750055229,14.3392494137628,87.16859396023001
33,CACU,Mexico,Non-fatal,29,Male,2007,Mexico,MEX,4.02769060426921,17.8813987717374,59.515054256153896
34,CACU,Costa Rica,Non-fatal,?,Male,2008,Costa Rica,CRI,2.48196865204894,32.4580743504696,42.5909604407532
35,CACU,Costa Rica,Fatal,41,Male,2008,Costa Rica,CRI,2.48196865204894,32.4580743504696,42.5909604407532
36,CACU,Costa Rica,Fatal,35,Female,2008,Costa Rica,CRI,2.48196865204894,32.4580743504696,42.5909604407532
37,CACU,Mexico,Non-fatal,42,Male,2008,Mexico,MEX,6.627233075271571,18.028421490282604,66.25221757644209
38,CACU,Mexico,Fatal,42,Male,2008,Mexico,MEX,6.627233075271571,18.028421490282604,66.25221757644209
39,CACU,Costa Rica,Fatal,14,Male,2008,Costa Rica,CRI,2.48196865204894,32.4580743504696,42.5909604407532
40,CACU,Mexico,Non-fatal,adult,Male,2008,Mexico,MEX,6.627233075271571,18.028421490282604,66.25221757644209
41,CACU,Costa Rica,Non-fatal,13,Male,2008,Costa Rica,CRI,2.48196865204894,32.4580743504696,42.5909604407532
42,CACU,Mexico,Non-fatal,39,Male,2008,Mexico,MEX,6.627233075271571,18.028421490282604,66.25221757644209
43,CACU,Costa Rica,Non-fatal,38,Male,2009,Costa Rica,CRI,4.0695921785332105,33.4116115744554,43.4537370024885
44,CACU,Jamaica,Non-fatal,36,Male,2009,Jamaica,JAM,4.00134518177429,10.7860968402493,105.419919959545
45,CACU,Mexico,Non-fatal,adult,Male,2009,Mexico,MEX,8.34695378463735,16.887177608965,72.0258082170965
46,CACU,Mexico,Non-fatal,?,Male,2009,Mexico,MEX,8.34695378463735,16.887177608965,72.0258082170965
47,CACU,Colombia,Fatal,6,Female,2009,Colombia,COL,4.65645052806179,16.4563968951947,92.8294983675532
48,CACU,Panama,Non-fatal,?,Male,2010,Panama,PAN,7.0896585494927296,14.8032977402969,182.43049696120602
49,CACU,Mexico,Non-fatal,?,Male,2010,Mexico,MEX,9.0205936993584,16.978198771842,77.8932133388418
50,CACU,Mexico,Non-fatal,15,Male,2010,Mexico,MEX,9.0205936993584,16.978198771842,77.8932133388418
51,CACU,Mexico,Non-fatal,29,Male,2010,Mexico,MEX,9.0205936993584,16.978198771842,77.8932133388418
52,CACU,Costa Rica,Fatal,25,Male,2010,Costa Rica,CRI,8.71809877499296,23.3293438468037,68.8268269501549
53,CACU,Costa Rica,Non-fatal,30,Male,2010,Costa Rica,CRI,8.71809877499296,23.3293438468037,68.8268269501549
54,CACU,Mexico,Non-fatal,58,Male,2010,Mexico,MEX,9.0205936993584,16.978198771842,77.8932133388418
55,CACU,Costa Rica,Fatal,22,Male,2010,Costa Rica,CRI,8.71809877499296,23.3293438468037,68.8268269501549
56,CACU,Panama,Non-fatal,32,Male,2010,Panama,PAN,7.0896585494927296,14.8032977402969,182.43049696120602
57,CACU,Mexico,Non-fatal,74,Male,2010,Mexico,MEX,9.0205936993584,16.978198771842,77.8932133388418
58,CACU,Panama,Fatal,19,Male,2010,Panama,PAN,7.0896585494927296,14.8032977402969,182.43049696120602
