,Species,Country,Outcome,Age,Sex,Year,Entity,Code,Urban land area (sq. km)
0,CACU,Mexico,Non-fatal,20,Male,2000,Mexico,MEX,102418.1094
1,CACU,Costa Rica,Fatal,29,Male,2002,,,
2,CACU,Costa Rica,Non-fatal,58,Male,2002,,,
3,CACU,Costa Rica,Non-fatal,53,Male,2002,,,
4,CACU,Nicaragua,Non-fatal,42,Male,2002,,,
5,CACU,Nicaragua,Non-fatal,18,Male,2002,,,
6,CACU,Panama,Non-fatal,36,Male,2003,,,
7,CACU,Mexico,Non-fatal,40-something,Male,2004,,,
8,CACU,Mexico,Non-fatal,over 60,Female,2005,,,
9,CACU,Mexico,Non-fatal,adult,Male,2005,,,
10,CACU,Panama,Non-fatal,adult,Male,2005,,,
11,CACU,Mexico,Non-fatal,adult,Male,2005,,,
12,CACU,Costa Rica,Fatal,13,Male,2005,,,
13,CACU,Jamaica,Non-fatal,adult,Male,2005,,,
14,CACU,Mexico,Non-fatal,13,Male,2006,,,
15,CACU,Costa Rica,Non-fatal,20,Male,2006,,,
16,CACU,Mexico,Non-fatal,10,Male,2006,,,
17,CACU,Mexico,Non-fatal,5,Female,2006,,,
18,CACU,Mexico,Non-fatal,43,Male,2006,,,
19,CACU,Costa Rica,Non-fatal,11,Female,2006,,,
20,CACU,Costa Rica,Non-fatal,16,Male,2006,,,
21,CACU,Costa Rica,Non-fatal,30,Male,2007,,,
22,CACU,Costa Rica,Non-fatal,18,Male,2007,,,
23,CACU,Costa Rica,Non-fatal,25,Male,2007,,,
24,CACU,Nicaragua,Fatal,4,Male,2007,,,
25,CACU,El Salvador,Non-fatal,20,Male,2007,,,
26,CACU,Mexico,Fatal,5,Male,2007,,,
27,CACU,Costa Rica,Fatal,13,Male,2007,,,
28,CACU,Panama,Fatal,38,Male,2007,,,
29,CACU,Mexico,Non-fatal,10,Male,2007,,,
30,CACU,Mexico,Non-fatal,9,Male,2007,,,
31,CACU,Mexico,Non-fatal,12,Male,2007,,,
32,CACU,Panama,Non-fatal,adult,Male,2007,,,
33,CACU,Mexico,Non-fatal,29,Male,2007,,,
34,CACU,Costa Rica,Non-fatal,?,Male,2008,,,
35,CACU,Costa Rica,Fatal,41,Male,2008,,,
36,CACU,Costa Rica,Fatal,35,Female,2008,,,
37,CACU,Mexico,Non-fatal,42,Male,2008,,,
38,CACU,Mexico,Fatal,42,Male,2008,,,
39,CACU,Costa Rica,Fatal,14,Male,2008,,,
40,CACU,Mexico,Non-fatal,adult,Male,2008,,,
41,CACU,Costa Rica,Non-fatal,13,Male,2008,,,
42,CACU,Mexico,Non-fatal,39,Male,2008,,,
43,CACU,Costa Rica,Non-fatal,38,Male,2009,,,
44,CACU,Jamaica,Non-fatal,36,Male,2009,,,
45,CACU,Mexico,Non-fatal,adult,Male,2009,,,
46,CACU,Mexico,Non-fatal,?,Male,2009,,,
47,CACU,Colombia,Fatal,6,Female,2009,,,
48,CACU,Panama,Non-fatal,?,Male,2010,Panama,PAN,2892.144043
49,CACU,Mexico,Non-fatal,?,Male,2010,Mexico,MEX,102418.1094
50,CACU,Mexico,Non-fatal,15,Male,2010,Mexico,MEX,102418.1094
51,CACU,Mexico,Non-fatal,29,Male,2010,Mexico,MEX,102418.1094
52,CACU,Costa Rica,Fatal,25,Male,2010,Costa Rica,CRI,4051.562988
53,CACU,Costa Rica,Non-fatal,30,Male,2010,Costa Rica,CRI,4051.562988
54,CACU,Mexico,Non-fatal,58,Male,2010,Mexico,MEX,102418.1094
55,CACU,Costa Rica,Fatal,22,Male,2010,Costa Rica,CRI,4051.562988
56,CACU,Panama,Non-fatal,32,Male,2010,Panama,PAN,2892.144043
57,CACU,Mexico,Non-fatal,74,Male,2010,Mexico,MEX,102418.1094
58,CACU,Panama,Fatal,19,Male,2010,Panama,PAN,2892.144043
59,CACU,Mexico,Non-fatal,53,Male,2010,Mexico,MEX,102418.1094
60,CACU,Mexico,Non-fatal,?,Male,2010,Mexico,MEX,102418.1094
61,CACU,Nicaragua,Fatal,31,Male,2010,Nicaragua,NIC,2882.378662
62,CACU,Mexico,Non-fatal,2,Male,2010,Mexico,MEX,102418.1094
63,CACU,Jamaica,Non-fatal,?,Male,2010,Jamaica,JAM,3000.631592
64,CACU,Mexico,Fatal,33,Male,2010,Mexico,MEX,102418.1094
65,CACU,Panama,Non-fatal,?,Male,2010,Panama,PAN,2892.144043
66,CACU,Nicaragua,Non-fatal,?,Male,2011,,,
67,CACU,Mexico,Non-fatal,20,Male,2011,,,
68,CACU,Costa Rica,Non-fatal,12,Female,2011,,,
