date,World,Brazil,Canada,Chile,Colombia,Germany,Iceland,India,Indonesia,Iraq,Ireland,Japan,Lebanon,Libya,Mexico,New Zealand,Nigeria,Puerto Rico,Thailand,United Kingdom,United States,Venezuela,Vietnam
9/1/2020,245516,45961,1008,1752,7230,1218,2,69921,2743,3757,51,527,438,543,6729,14,143,351,5,1406,33850,0,4
9/2/2020,269005,42659,477,1419,8901,1256,9,78357,2775,3404,214,609,469,658,6936,5,239,222,8,1295,44639,1888,0
9/3/2020,284976,46934,498,1594,9270,1311,5,83883,3075,3946,89,598,598,532,6758,2,216,582,2,1508,38754,1127,2
9/4/2020,279065,43773,570,1762,8235,1453,7,83341,3622,4755,92,669,588,617,6148,5,124,195,4,1735,36249,994,0
9/5/2020,293157,51194,631,1968,8488,1378,7,86432,3269,5036,97,608,527,672,5893,0,156,43,0,1940,51071,1096,0
9/6/2020,276155,30168,371,1965,8394,988,1,90632,3128,4644,231,543,521,649,2749,8,162,251,13,1813,44140,1192,3
9/7/2020,245999,14521,400,2076,8065,814,5,90802,3444,3651,138,437,415,655,1980,4,100,41,1,2988,30555,1124,0
9/8/2020,209083,10273,247,1764,5327,1499,2,75809,2880,4314,102,378,400,1084,6188,6,155,842,1,2948,24250,1061,0
9/9/2020,245696,14279,1606,1267,7665,1176,7,89706,3046,4894,306,492,498,750,6403,6,296,129,1,2460,27122,1213,5
9/10/2020,289184,35816,546,1486,7343,1892,3,95735,3307,4243,84,495,553,879,5882,4,176,3,7,2659,31927,1188,5
9/11/2020,305692,40557,630,1642,7808,1484,4,96551,3861,4597,196,680,560,477,5482,1,197,772,7,2919,37507,1072,0
9/12/2020,304696,43718,702,1866,7424,1630,4,97570,3737,4254,211,643,546,969,5308,2,188,302,5,3539,48061,840,1
9/13/2020,284091,33523,515,2131,6876,948,1,94372,3817,4106,159,674,686,440,2669,2,160,511,7,3497,40820,967,0
9/14/2020,269988,14768,518,2082,7355,927,3,92071,3625,3531,255,439,641,433,1803,1,79,288,2,3330,33871,910,3
9/15/2020,245520,15155,1351,1685,5573,1407,3,83809,3141,4169,207,301,547,734,5985,3,132,370,5,2621,34841,1029,0
9/16/2020,303523,36653,793,1550,6698,1901,6,90123,3507,4224,357,490,592,629,4098,1,90,422,10,3103,51473,1086,0
9/17/2020,289716,36820,944,1304,7787,2194,15,97894,3963,4357,250,561,634,792,2082,7,126,682,0,3991,24598,761,0
9/18/2020,318186,36303,1120,1863,7568,1916,17,96424,3635,4326,224,485,685,886,6000,0,131,13,7,3395,43567,868,3
9/19/2020,311968,39797,1044,1677,6526,2297,24,93337,3891,4305,248,579,750,616,5551,2,221,817,3,4322,50209,890,2
9/20/2020,293505,33057,863,1847,7927,1345,77,92605,4168,3907,267,584,779,796,2658,4,189,1309,6,4422,40295,775,0
9/21/2020,284329,16389,875,1600,6678,922,39,86961,3989,3438,395,0,1006,715,1701,0,97,845,0,3899,39852,707,0
9/22/2020,268939,13439,1766,1194,5359,1821,31,75083,4176,3821,188,781,684,847,6031,0,195,638,5,4368,53153,787,0
9/23/2020,282710,33536,1248,1055,7102,1769,42,83347,4071,4724,323,330,865,650,5939,4,176,120,3,4926,38307,1010,0
9/24/2020,311481,33281,1090,1380,6731,2143,57,86508,4465,5055,231,273,940,651,5495,3,111,55,2,6178,37930,986,1
9/25/2020,320888,32817,1341,1731,6555,2153,36,86052,4634,4471,319,456,1027,535,5156,2,125,1191,3,6634,44213,967,0
9/26/2020,311602,31911,1362,2234,7494,2507,49,85362,4823,4593,321,558,1143,658,5079,2,213,1063,3,6873,55013,867,0
9/27/2020,299267,28378,1215,2111,7721,1410,40,88600,4494,4270,245,635,1280,538,2535,2,136,508,1,6041,45368,667,0
9/28/2020,279856,14318,1454,1922,7018,1192,22,82170,3874,3481,430,441,1012,536,1701,0,126,891,22,5692,36248,751,5
9/29/2020,238511,13155,2176,1770,5147,2089,40,70589,3509,4116,388,363,1018,849,5952,2,136,1118,14,4044,32998,837,3
9/30/2020,293940,32058,1660,1629,5839,1798,32,80472,4002,4724,362,516,1105,801,5741,1,187,1045,5,7143,43017,835,17
10/1/2020,316009,33413,1797,1691,5637,2503,33,86821,4284,4691,415,0,1257,511,5212,0,201,288,5,7108,41982,759,0
10/2/2020,323170,36157,1777,1759,5660,2673,41,81484,4174,4493,442,1205,1248,683,4955,12,153,312,6,6914,44771,907,1
10/3/2020,318791,33431,2124,1840,6192,2563,40,79476,4317,4785,466,553,1291,509,4699,1,126,0,8,6968,54471,791,1
10/4/2020,301912,26310,1812,1881,6616,2279,63,75829,4007,3672,605,571,1321,370,2266,5,160,541,0,12871,50659,0,0
10/5/2020,281018,8456,1685,1708,6905,1382,49,74442,3992,3210,364,400,988,722,1580,1,58,1067,7,22961,34901,1614,0
10/6/2020,270420,11946,2804,1567,7106,2639,59,61267,3622,3808,519,308,1175,628,5247,3,120,630,10,12593,40705,683,1
10/7/2020,326756,41906,2363,1560,7650,2828,101,72049,4056,4172,424,496,1261,1031,5405,3,118,432,15,14542,43062,679,1
10/8/2020,353624,31553,1800,1134,7875,4058,91,78524,4538,3923,609,477,1459,1045,5175,3,155,31,7,14162,48182,608,1
10/9/2020,363043,27750,2436,1576,8496,4516,95,70496,4850,3522,502,619,1367,779,4936,2,103,526,6,17540,56800,615,1
