date,World,Brazil,Canada,Chile,Colombia,Germany,Iceland,India,Indonesia,Iraq,Ireland,Japan,Lebanon,Libya,Mexico,New Zealand,Nigeria,Puerto Rico,Thailand,United Kingdom,United States,Venezuela,Vietnam
1,316009,33413,1797,1691,5637,2503,33,86821,4284,4691,415,0,1257,511,5212,0,201,288,5,7108,41982,759,0
2,323170,36157,1777,1759,5660,2673,41,81484,4174,4493,442,1205,1248,683,4955,12,153,312,6,6914,44771,907,1
3,318791,33431,2124,1840,6192,2563,40,79476,4317,4785,466,553,1291,509,4699,1,126,0,8,6968,54471,791,1
4,301912,26310,1812,1881,6616,2279,63,75829,4007,3672,605,571,1321,370,2266,5,160,541,0,12871,50659,0,0
5,281018,8456,1685,1708,6905,1382,49,74442,3992,3210,364,400,988,722,1580,1,58,1067,7,22961,34901,1614,0
6,270420,11946,2804,1567,7106,2639,59,61267,3622,3808,519,308,1175,628,5247,3,120,630,10,12593,40705,683,1
7,326756,41906,2363,1560,7650,2828,101,72049,4056,4172,424,496,1261,1031,5405,3,118,432,15,14542,43062,679,1
8,353624,31553,1800,1134,7875,4058,91,78524,4538,3923,609,477,1459,1045,5175,3,155,31,7,14162,48182,608,1
9,363043,27750,2436,1576,8496,4516,95,70496,4850,3522,502,619,1367,779,4936,2,103,526,6,17540,56800,615,1
10,349229,27444,2558,1753,8121,4721,106,73272,4094,3214,617,594,1426,1076,5009,4,151,598,6,13864,58082,677,5
11,345287,26749,0,1826,8447,3483,87,74383,4294,2344,1011,679,1388,318,2435,1,111,472,0,15165,54271,757,2
12,304518,12345,0,1776,8569,2467,66,66732,4497,2206,814,435,0,1026,1750,0,163,307,7,12872,43597,684,2
13,288737,8426,4722,1517,7767,4122,56,55342,3267,3107,823,326,2066,1109,5326,1,164,563,2,13972,41653,619,1
14,330682,10220,4042,1392,5015,5132,86,63509,3906,3921,808,467,1245,1164,4548,2,225,306,9,17232,52517,635,3
15,388342,27235,2506,1092,6061,6638,89,67708,4127,3857,1084,570,1377,836,2640,2,179,976,13,19724,59386,614,9
16,402440,28523,2345,1124,6823,7334,80,63371,4411,3587,1186,721,1499,855,1470,4,0,569,4,18978,63785,464,2
17,396982,30914,2374,1694,8372,7830,92,62212,4301,3501,998,632,1368,1169,380,3,360,327,10,15635,70256,0,0
18,369205,24062,2215,1813,7017,5587,69,61871,4301,3221,1251,593,1171,0,2800,3,113,238,7,16171,56611,289,2
19,362205,10982,1827,1757,7201,4325,57,55722,4105,3110,1284,471,1002,945,1320,0,133,643,5,16981,47843,878,8
20,349048,15383,3289,1545,6311,6868,46,46790,3373,4044,1031,353,658,1159,3699,1,118,657,9,18803,60160,0,6
21,393924,23227,2251,1173,8256,7595,92,54044,3602,3920,1263,453,1392,957,5788,25,72,693,9,21330,58549,1008,1
22,450126,24818,2672,1159,7561,11287,37,55839,4267,3667,1166,591,1241,719,6845,2,37,187,10,26687,62978,391,4
23,468162,24858,2788,1494,8570,11242,38,54366,4432,3899,1054,614,1450,995,6612,9,138,207,8,21238,72058,381,3
24,479085,30026,2584,1775,8672,14714,40,53370,4369,3785,785,697,1452,764,6604,11,77,1947,4,20531,85329,302,0
25,446563,26979,2227,1636,8769,11176,86,50129,4070,3204,847,699,1427,990,6025,1,48,296,5,23012,83056,424,12
26,383258,13493,2145,1521,8174,8685,54,45148,3732,2554,1020,540,1484,1639,4360,5,62,1223,7,19790,59440,423,8
